0	2	1	88	181	86	42	87	41	
42	87	41	91	182	89	44	90	43	
44	90	43	94	183	92	46	93	45	
46	93	45	97	184	95	48	96	47	
48	96	47	100	185	98	50	99	49	
50	99	49	103	186	101	52	102	51	
52	102	51	106	187	104	54	105	53	
54	105	53	109	188	107	56	108	55	
56	108	55	112	189	110	58	111	57	
58	111	57	114	190	113	32	33	31	
1	4	3	86	191	115	41	116	59	
41	116	59	89	192	117	43	118	60	
43	118	60	92	193	119	45	120	61	
45	120	61	95	194	121	47	122	62	
47	122	62	98	195	123	49	124	63	
49	124	63	101	196	125	51	126	64	
51	126	64	104	197	127	53	128	65	
53	128	65	107	198	129	55	130	66	
55	130	66	110	199	131	57	132	67	
57	132	67	113	200	133	31	35	34	
3	6	5	115	201	134	59	135	68	
59	135	68	117	202	136	60	137	69	
60	137	69	119	203	138	61	139	70	
61	139	70	121	204	140	62	141	71	
62	141	71	123	205	142	63	143	72	
63	143	72	125	206	144	64	145	73	
64	145	73	127	207	146	65	147	74	
65	147	74	129	208	148	66	149	75	
66	149	75	131	209	150	67	151	76	
67	151	76	133	210	152	34	37	36	
5	8	7	134	211	153	68	154	77	
68	154	77	136	212	155	69	156	78	
69	156	78	138	213	157	70	158	79	
70	158	79	140	214	159	71	160	80	
71	160	80	142	215	161	72	162	81	
72	162	81	144	216	163	73	164	82	
73	164	82	146	217	165	74	166	83	
74	166	83	148	218	167	75	168	84	
75	168	84	150	219	169	76	170	85	
76	170	85	152	220	171	36	39	38	
7	10	9	153	221	12	77	172	11	
77	172	11	155	222	14	78	173	13	
78	173	13	157	223	16	79	174	15	
79	174	15	159	224	18	80	175	17	
80	175	17	161	225	20	81	176	19	
81	176	19	163	226	22	82	177	21	
82	177	21	165	227	24	83	178	23	
83	178	23	167	228	26	84	179	25	
84	179	25	169	229	28	85	180	27	
85	180	27	171	230	30	38	40	29	
